min max (options):    16
max min (options):    4

N | selection A            | selection B  | Winning A    | Winning B    | max          | min          | e           
1     |   x1     |  y1     | [   17,     0,    12]  |  [   17,     4,     9] | 17.000 |  4.000  | 13.000
2     |   x1     |  y2     | [   21,    16,    14]  |  [   34,     8,    18] | 10.500 |  4.000  | 6.500
3     |   x1     |  y2     | [   25,    32,    16]  |  [   51,    12,    27] | 10.667 |  4.000  | 6.500
4     |   x2     |  y2     | [   29,    48,    18]  |  [   51,    28,    36] | 12.000 |  7.000  | 3.500
5     |   x2     |  y2     | [   33,    64,    20]  |  [   51,    44,    45] | 12.800 |  8.800  | 1.700
6     |   x2     |  y2     | [   37,    80,    22]  |  [   51,    60,    54] | 13.333 |  8.500  | 1.700
7     |   x2     |  y1     | [   54,    80,    34]  |  [   51,    76,    63] | 11.429 |  7.286  | 1.700
8     |   x2     |  y1     | [   71,    80,    46]  |  [   51,    92,    72] | 10.000 |  6.375  | 1.200
9     |   x2     |  y1     | [   88,    80,    58]  |  [   51,   108,    81] |  9.778 |  5.667  | 0.978
10    |   x1     |  y1     | [  105,    80,    70]  |  [   68,   112,    90] | 10.500 |  6.800  | 0.978
11    |   x1     |  y1     | [  122,    80,    82]  |  [   85,   116,    99] | 11.091 |  7.727  | 0.978
12    |   x1     |  y1     | [  139,    80,    94]  |  [  102,   120,   108] | 11.583 |  8.500  | 0.978
13    |   x1     |  y1     | [  156,    80,   106]  |  [  119,   124,   117] | 12.000 |  9.000  | 0.778
14    |   x1     |  y3     | [  165,    89,   125]  |  [  136,   128,   126] | 11.786 |  9.000  | 0.778
15    |   x1     |  y3     | [  174,    98,   144]  |  [  153,   132,   135] | 11.600 |  8.800  | 0.778
16    |   x1     |  y2     | [  178,   114,   146]  |  [  170,   136,   144] | 11.125 |  8.500  | 0.778
17    |   x1     |  y2     | [  182,   130,   148]  |  [  187,   140,   153] | 10.706 |  8.235  | 0.778
18    |   x1     |  y2     | [  186,   146,   150]  |  [  204,   144,   162] | 10.333 |  8.000  | 0.778
19    |   x1     |  y2     | [  190,   162,   152]  |  [  221,   148,   171] | 10.000 |  7.789  | 0.778
20    |   x1     |  y2     | [  194,   178,   154]  |  [  238,   152,   180] |  9.700 |  7.600  | 0.700
21    |   x1     |  y2     | [  198,   194,   156]  |  [  255,   156,   189] |  9.429 |  7.429  | 0.429
22    |   x1     |  y2     | [  202,   210,   158]  |  [  272,   160,   198] |  9.545 |  7.273  | 0.429
23    |   x2     |  y2     | [  206,   226,   160]  |  [  272,   176,   207] |  9.826 |  7.652  | 0.429
24    |   x2     |  y2     | [  210,   242,   162]  |  [  272,   192,   216] | 10.083 |  8.000  | 0.429
25    |   x2     |  y2     | [  214,   258,   164]  |  [  272,   208,   225] | 10.320 |  8.320  | 0.429
26    |   x2     |  y2     | [  218,   274,   166]  |  [  272,   224,   234] | 10.538 |  8.615  | 0.429
27    |   x2     |  y2     | [  222,   290,   168]  |  [  272,   240,   243] | 10.741 |  8.889  | 0.429
28    |   x2     |  y2     | [  226,   306,   170]  |  [  272,   256,   252] | 10.929 |  9.000  | 0.429
29    |   x2     |  y3     | [  235,   315,   189]  |  [  272,   272,   261] | 10.862 |  9.000  | 0.429
30    |   x2     |  y3     | [  244,   324,   208]  |  [  272,   288,   270] | 10.800 |  9.000  | 0.429
31    |   x2     |  y3     | [  253,   333,   227]  |  [  272,   304,   279] | 10.742 |  8.774  | 0.429
32    |   x2     |  y1     | [  270,   333,   239]  |  [  272,   320,   288] | 10.406 |  8.500  | 0.429
33    |   x2     |  y1     | [  287,   333,   251]  |  [  272,   336,   297] | 10.091 |  8.242  | 0.429
34    |   x2     |  y1     | [  304,   333,   263]  |  [  272,   352,   306] |  9.794 |  8.000  | 0.429
35    |   x2     |  y1     | [  321,   333,   275]  |  [  272,   368,   315] |  9.514 |  7.771  | 0.429
36    |   x2     |  y1     | [  338,   333,   287]  |  [  272,   384,   324] |  9.389 |  7.556  | 0.389
37    |   x1     |  y1     | [  355,   333,   299]  |  [  289,   388,   333] |  9.595 |  7.811  | 0.389
38    |   x1     |  y1     | [  372,   333,   311]  |  [  306,   392,   342] |  9.789 |  8.053  | 0.389
39    |   x1     |  y1     | [  389,   333,   323]  |  [  323,   396,   351] |  9.974 |  8.282  | 0.389
40    |   x1     |  y1     | [  406,   333,   335]  |  [  340,   400,   360] | 10.150 |  8.500  | 0.389
41    |   x1     |  y1     | [  423,   333,   347]  |  [  357,   404,   369] | 10.317 |  8.707  | 0.389
42    |   x1     |  y1     | [  440,   333,   359]  |  [  374,   408,   378] | 10.476 |  8.905  | 0.389
43    |   x1     |  y1     | [  457,   333,   371]  |  [  391,   412,   387] | 10.628 |  9.000  | 0.389
44    |   x1     |  y3     | [  466,   342,   390]  |  [  408,   416,   396] | 10.591 |  9.000  | 0.389
45    |   x1     |  y3     | [  475,   351,   409]  |  [  425,   420,   405] | 10.556 |  9.000  | 0.389
46    |   x1     |  y3     | [  484,   360,   428]  |  [  442,   424,   414] | 10.522 |  9.000  | 0.389
47    |   x1     |  y3     | [  493,   369,   447]  |  [  459,   428,   423] | 10.489 |  9.000  | 0.389
48    |   x1     |  y3     | [  502,   378,   466]  |  [  476,   432,   432] | 10.458 |  9.000  | 0.389
49    |   x1     |  y2     | [  506,   394,   468]  |  [  493,   436,   441] | 10.327 |  8.898  | 0.389
50    |   x1     |  y2     | [  510,   410,   470]  |  [  510,   440,   450] | 10.200 |  8.800  | 0.389
51    |   x1     |  y2     | [  514,   426,   472]  |  [  527,   444,   459] | 10.078 |  8.706  | 0.389
52    |   x1     |  y2     | [  518,   442,   474]  |  [  544,   448,   468] |  9.962 |  8.615  | 0.389
53    |   x1     |  y2     | [  522,   458,   476]  |  [  561,   452,   477] |  9.849 |  8.528  | 0.389
54    |   x1     |  y2     | [  526,   474,   478]  |  [  578,   456,   486] |  9.741 |  8.444  | 0.389
55    |   x1     |  y2     | [  530,   490,   480]  |  [  595,   460,   495] |  9.636 |  8.364  | 0.389
56    |   x1     |  y2     | [  534,   506,   482]  |  [  612,   464,   504] |  9.536 |  8.286  | 0.389
57    |   x1     |  y2     | [  538,   522,   484]  |  [  629,   468,   513] |  9.439 |  8.211  | 0.389
